resource,annotation_type,annotation_value,contributor,date,url,comment
185.199.108.153,note,GitHub Page,Romain Fontugne,2024/03/14,https://docs.github.com/en/pages/configuring-a-custom-domain-for-your-github-pages-site/managing-a-custom-domain-for-your-github-pages-site,
185.199.109.153,note,GitHub Page,Romain Fontugne,2024/03/14,https://docs.github.com/en/pages/configuring-a-custom-domain-for-your-github-pages-site/managing-a-custom-domain-for-your-github-pages-site,
185.199.110.153,note,GitHub Page,Romain Fontugne,2024/03/14,https://docs.github.com/en/pages/configuring-a-custom-domain-for-your-github-pages-site/managing-a-custom-domain-for-your-github-pages-site,
185.199.111.153,note,GitHub Page,Romain Fontugne,2024/03/14,https://docs.github.com/en/pages/configuring-a-custom-domain-for-your-github-pages-site/managing-a-custom-domain-for-your-github-pages-site,
1.1.1.1,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver
1.0.0.1,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver
1.1.1.2,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware
1.0.0.2,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware
1.1.1.3,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware and adult content
1.0.0.3,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware and adult content
2606:4700:4700::1111,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver
2606:4700:4700::1001,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver
2606:4700:4700::1112,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware
2606:4700:4700::1002,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware
2606:4700:4700::1113,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware and adult content
2606:4700:4700::1003,note,Cloudflare DNS,Mingwei Zhang,2024/03/13,https://developers.cloudflare.com/1.1.1.1/ip-addresses,general public resolver blocking malware and adult content
